row,filename,community,degree,betweenness,closeness,eigenvector
221,The_moderating_role_of_remote_.pdf,0,0.0466,0.001,0.3719,0.0224
222,The_telework_performance_dilem.pdf,0,0.0855,0.0047,0.4059,0.0452
223,Theeffectsoftechnostressorsonworkandnon-workoutcomesinhybridwork.pdf,3,0.0596,0.0009,0.4098,0.0597
224,Theorizing the Effect of Organizational Identification on Vacatio.pdf,2,0.0518,0.0009,0.3996,0.0575
225,Togetherness and (work)Place: Insights from Workers and Managers during Australian COVID-Induced Lockdowns.pdf,2,0.1036,0.0038,0.4371,0.0874
226,Towards_a_sustainable_workplac.pdf,0,0.0855,0.0044,0.3856,0.041
227,Turnitin%20The%20impact%20of%20digital%20fatigue%20on%20employee%20productivity%20and%20well-being.pdf,3,0.0596,0.001,0.4182,0.0432
228,Understanding_teleworkers’_tec.pdf,0,0.0466,0.0027,0.3895,0.0319
229,Understanding_the_Moderating_E.pdf,4,0.044,0.002,0.3614,0.0196
230,Voluntary_part-time_and_mandat.pdf,0,0.0389,0.0022,0.3481,0.0191
231,Wellbeing_Remote.pdf,3,0.0544,0.0099,0.4228,0.0315
232,What_is_healthy_hybrid_work_E.pdf,0,0.0518,0.0008,0.3826,0.0307
233,Wilson 2023 Authoritarian Leadership Style and Psychological Safety.pdf,4,0.0751,0.0006,0.3788,0.0303
234,Work engagement and its antecedents in remote work  A person-centered view.pdf,2,0.1606,0.0354,0.5052,0.1127
235,Work from home can be distracting  Exploring the moderation role of transformational leadership on teleworking and cyber-slacking.pdf,1,0.057,0.0014,0.4089,0.0577
236,Work life balance in the digital era  configuring demands and resources at work.pdf,3,0.044,0.0003,0.3911,0.0458
237,a965102-030(2023).pdf,5,0.0389,0.0096,0.3864,0.0182
238,"admin,+PUBLISH_PAULUS.pdf",4,0.0596,0.001,0.3535,0.0178
239,admsci-13-00055.pdf,0,0.057,0.0043,0.4196,0.0428
240,admsci-13-00150.pdf,0,0.057,0.0012,0.3868,0.0301
241,admsci-13-00218.pdf,0,0.101,0.0057,0.4,0.0435
242,admsci-15-00398.pdf,3,0.0389,0.0086,0.4187,0.0358
243,"agung,+1.+Anthony+Leonard+Limanta+001-016.pdf",1,0.0389,0.0013,0.3971,0.0544
244,ajems-07-2022-0306.pdf,0,0.0725,0.0015,0.3792,0.0378
245,alasoini-2025-reproducing-clan-mechanisms-of-control-in-hybrid-work.pdf,2,0.0466,0.0029,0.412,0.0388
246,annurev-orgpsych-110622-060758.pdf,0,0.0466,0.0057,0.3872,0.0197
247,article_109597.pdf,1,0.1347,0.0066,0.4547,0.1363
248,article_91370.pdf,1,0.0984,0.0043,0.4228,0.0824
249,bartelwrzesniewskiwiesenfeld.pdf,4,0.044,0.0026,0.408,0.028
250,behavsci-13-00835.pdf,0,0.0492,0.0025,0.4025,0.0292
251,behavsci-13-00916.pdf,0,0.0518,0.0021,0.3638,0.0239
252,behavsci-14-00674-v4.pdf,0,0.0415,0.0042,0.4102,0.0307
253,behavsci-15-00095.pdf,0,0.0389,0.0041,0.3822,0.0192
254,boulet-parent-lamarche-2022-paradoxical-effects-of-teleworking-on-workers-well-being-in-the-covid-19-context-a.pdf,1,0.0881,0.0059,0.4422,0.0888
255,cdc_207491_DS1.pdf,1,0.0725,0.0012,0.3996,0.0813
256,cdc_223707_DS1.pdf,1,0.0725,0.0044,0.4232,0.0609
257,challenges-13-00014.pdf,0,0.0622,0.0038,0.3879,0.0271
258,chychun_effective management.pdf,2,0.0492,0.001,0.4033,0.0443
259,content.pdf,3,0.0492,0.0023,0.4205,0.0531
260,covid-02-00101-v2.pdf,0,0.044,0.0007,0.3635,0.021
261,cyber.2021.0257.pdf,3,0.0415,0.0034,0.3959,0.028
262,dalessandro-lovell-2024-the-pandemic-stratified-workplace-workspace-employee-sense-of-belonging-and-inequalities-at-work.pdf,2,0.0466,0.0001,0.3967,0.0485
263,doberstein-charbonneau-2022-alienation-in-pandemic-induced-telework-in-the-public-sector.pdf,1,0.0959,0.0033,0.4452,0.0906
264,"drdujak,+18+-+Komanovics.pdf",5,0.044,0.0,0.3431,0.0113
265,e2025380.pdf,3,0.0596,0.0013,0.3935,0.0454
266,er-04-2024-0199en.pdf,2,0.0959,0.0033,0.4525,0.101
267,fb24aaec11f23ae04cda9daba6bcbf8b4329.pdf,1,0.0389,0.0013,0.3971,0.0414
268,feduc-9-1512536.pdf,2,0.057,0.0052,0.3975,0.0535
269,forgp-02-1360373.pdf,1,0.0492,0.0024,0.3979,0.0417
270,forgp-02-1430812.pdf,0,0.0389,0.0017,0.4164,0.0278
271,forgp-02-1448894.pdf,3,0.0492,0.0032,0.4303,0.0381
272,forgp-2-1499248.pdf,1,0.0544,0.0047,0.4289,0.0446
273,fpsyg-13-1016368.pdf,1,0.044,0.0029,0.4046,0.0415
274,fpsyg-13-833776.pdf,4,0.044,0.0014,0.3967,0.029
275,fpsyg-13-863197.pdf,1,0.0751,0.0047,0.4442,0.0689
276,fpsyg-13-898405.pdf,1,0.0518,0.0002,0.3883,0.0634
277,fpsyg-13-987976.pdf,2,0.0466,0.0031,0.3992,0.0338
278,fpsyg-13-988105.pdf,4,0.0751,0.0024,0.4142,0.0426
279,fpsyg-14-1065593.pdf,1,0.0415,0.0015,0.3919,0.032
280,fpsyg-14-1098336.pdf,0,0.0492,0.0041,0.3883,0.0292
